Row 6: B=Jedi | C=Jedi Consular | D=Adept Negotiator | E=undefined | I=As a Standard Action, you can weaken the resolve of one opponent with your words. The target must have an Intelligence of 3 or higher, and it must be able to see, hear, and understand you. Make a Persuasion check; if the result equals or exceeds the target's Will Defense, it moves -1 step along the Condition Track. The target gets a +5 bonus to its Will Defense if it is higher level than you. If the target reaches the end of its Condition Track, it does not fall unconscious, instead, it cannot attack you or your allies for the remainder of the encounter unless you or one of your allies attacks it or one of its allies first. This is a Mind-Affecting effect.  | J=No | L=0
Row 149: B=undefined | C=undefined | D=Self-Reliant | E=undefined | I=1/enc use 1 talent from Inspiration tree on yourself | J=No | L=0
Row 150: B=undefined | C=undefined | D=undefined | E=undefined | I=1/enc each: 1. swif 1 enemy whenever an ally w/in 12sq hits target +1d6 dam, 2. swif grant allies w/in 12sq & LOS +5 Will Def until end next turn, 3. w/Persuasion unfriendly or indifferent into ally for enc direct target as swif | J=No | L=0
Row 151: B=undefined | C=Fencing | D=Noble Fencing Style | E=undefined | I=When using a light melee weapon or lightsaber with which you are proficient, you may use your Charisma modifier instead of your Strength modifier on attack rolls | J=No | L=0
Row 152: B=undefined | C=undefined | D=undefined | E=Demoralizing Defense | I=Halve damage from a melee attack on an opponent to instead inflict a -5 penalty on attacks made against you until your next turn | J=No | L=0
Row 153: B=undefined | C=undefined | D=undefined | E=Leading Feint | I=Upon damaging an opponent with a melee attack, make a Deception check against them to leave them flat-footed against an ally within six squares until your next turn | J=No | L=0
Row 154: B=undefined | C=undefined | D=undefined | E=Personal Affront | I=Upon being damaged by an adjacent enemy once per encounter, make a free single melee attack against them | J=No | L=0
Row 155: B=undefined | C=undefined | D=undefined | E=Transposing Strike | I=Deal half damage to an enemy to switch places with them | J=No | L=0
Row 156: B=undefined | C=Idealogue | D=Idealist | E=undefined | I=You may use your Charisma bonus instead of Wisdom bonus for Will Defense | J=No | L=0
Row 157: B=undefined | C=undefined | D=Instruction | E=undefined | I=As a standard action, once per encounter for each time taken, grant an ally within 6 squares use of your skill modifier (except for Use the Force)

(Enter number of times taken) | J=No | L=0
Row 158: B=undefined | C=undefined | D=Know Your Enemy | E=undefined | I=As a swift action make a Knowledge (galactic lore) check against DC 15 + target's CL to learn two of: base attack bonus, particular attack bonus, defense score, skill modifier, taken talent or taken feat | J=No | L=0
Row 159: B=undefined | C=undefined | D=undefined | E=Known Dissident | I=Make a Persuasion check against the Will Defense of a single opponent within line of sight as a standard action to keep them from attacking you until your next turn | J=No | L=0
Row 160: B=undefined | C=undefined | D=Lead by Example | E=undefined | I=Once per encounter, upon dealing damage to an enemy, grant all allies +1 attack and +1 die damage against the same target | J=No | L=0
Row 161: B=undefined | C=Gambling Leader | D=Assault Gambit | E=undefined | I=Once per turn, as a standard action, you can designate one ally and one enemy that have line of effect to each other. The ally and the enemy make opposed Initiative checks, and the winner can make a single immediate melee or ranged attack against the loser. No character can benefit from this talent more than once per round. | J=No | L=0
Row 162: B=undefined | C=undefined | D=undefined | E=Direct Fire | I=Once per turn, as a swift action, you can designate one ally and one target that does not have cover from you. Until the start of your next tum, the ally you designate ignores that target's cover bonuses to Reflex Defense.
Prerequisite: Assault Gambit. | J=No | L=0
Row 163: B=undefined | C=undefined | D=Face the Foe | E=undefined | I=If you do not have cover from a target, you gain a +1 morale bonus to attack rolls against that target. | J=No | L=0
Row 164: B=undefined | C=undefined | D=undefined | E=Lead From the Front | I=If you do not have cover from a target that you damage with a ranged attack, all your allies gain a +2 morale bonus to attack rolls against that target and a +5 circumstance bonus to opposed Initiative checks against that target until the start of your next turn.
Prerequisite: Face the Foe. | J=No | L=0
Row 165: B=undefined | C=undefined | D=undefined | E=Luck Favors the Bold | I=If at least one enemy in your line of sight is aware of you and you do not have cover against that enemy, at the start of your tum if you are conscious you gain a number of bonus hit points equal to 5 + one-half your level. Damage is subtracted from bonus hit points first, and any bonus hit points remaining at the end of the encounter are lost. Bonus hit points do not stack.
Prerequisite: Face the Foe. | J=No | L=0
Row 166: B=undefined | C=Influence | D=Presence | E=undefined | I=Persuasion checks to intimidate are standard actions, not full-round actions | J=No | L=0
Row 167: B=undefined | C=undefined | D=undefined | E=Demand Surrender | I=Make a Persuasion check once per encounter against the Will Defense of a target reduced to less than half hit-points to enforce their surrender | J=No | L=0
Row 168: B=undefined | C=undefined | D=undefined | E=Fluster | I=Once per encounter as a standard action, use Persuasion to intimidate an opponent within line of sight to allow them only a swift action for their turn | J=No | L=0
Row 169: B=undefined | C=undefined | D=undefined | E=Intimidating Defense | I=Once per encounter as a reaction, make a Persuasion check to intimidate an opponent within line of sight to apply a -5 penalty to their attack roll | J=No | L=0
Row 170: B=undefined | C=undefined | D=undefined | E=Weaken Resolve | I=Make a Persuasion check against a target's Will Defense upon dealing damage greater than their damage threshold to enforce their flight | J=No | L=0
Row 171: B=undefined | C=undefined | D=undefined | E=undefined | I=Targets fleeing from Weaken Resolve don't stop running if wounded | J=No | L=0
Row 172: B=undefined | C=Inspiration | D=Bolster Ally | E=undefined | I=Move an ally +1 step along the condition track once per encounter and impart bonus hit points equal to his character level if he is below half hit points | J=No | L=0
Row 173: B=undefined | C=undefined | D=Inspire Confidence | E=undefined | I=All allies within line of sight gain a +1 bonus to attack rolls and skill checks until the end of the encounter as a standard action | J=No | L=0
Row 174: B=undefined | C=undefined | D=undefined | E=Beloved | I=You can use each of the following actions once per encounter:
- Guardian
- Reprisal
- To me!
See p.14 of Scum and Villainy. | J=No | L=0
Row 175: B=undefined | C=undefined | D=undefined | E=Ignite Fervor | I=Grant an ally a bonus to damage on his next attack roll equal to his character level upon hitting an opponent with a ranged or melee attack | J=No | L=0
Row 176: B=undefined | C=undefined | D=undefined | E=undefined | I=Opponents moved down the condition track from attacks made by allies within line of sight move an additional -1 step down the condition track | J=No | L=0
Row 177: B=undefined | C=undefined | D=undefined | E=Willpower | I=Once per encounter as a swift action, grant allies within line of sight +2 Will Defense | J=No | L=0
Row 178: B=undefined | C=undefined | D=Inspire Haste | E=undefined | I=As a swift action, an ally within line of sight can make a skill check requiring a standard action as a move action on his next turn | J=No | L=0
Row 179: B=undefined | C=Leadership | D=Born Leader | E=undefined | I=Allies within line of sight gain a +1 bonus to attack rolls whilst remaining in line of sight, activated as a swift action once per encounter | J=No | L=0
Row 180: B=undefined | C=undefined | D=undefined | E=Coordinated Leadership | I=1 talent from Leadership tree stacks w/bonuses from others | J=No | L=0
Row 181: B=undefined | C=undefined | D=undefined | E=Distant Command | I=The bonus from Born Leader applies even if line of sight is disrupted | J=No | L=0
Row 182: B=undefined | C=undefined | D=undefined | E=undefined | I=Allies within line of sight at less than half hit points gain a +2 bonus to Reflex Defense, Will Defense and damage rolls, activated as a swift action once per encounter | J=No | L=0
Row 183: B=undefined | C=undefined | D=undefined | E=Fearless Leader | I=Allies gain +5 to Will Defense against fear effects for the rest of the encounter, activated as a swift action | J=No | L=0
Row 184: B=undefined | C=undefined | D=undefined | E=Reactionary Attack | I=Once per encounter, upon you or an ally being attacked, grant an ally within 6 squares a free attack against the attacking enemy | J=No | L=0
Row 185: B=undefined | C=undefined | D=undefined | E=Tactical Savvy | I=When an ally whom you can see spends a Force point to enhance an attack roll, the ally gains a bonus to the Force point roll equal to your Intelligence modifier. Prerequisite: Born Leader. | J=No | L=0
Row 186: B=undefined | C=undefined | D=undefined | E=undefined | I=You excel at leading others into battle, issuing quick commands, demonstrating a gift for strategy, decimating your enemies, and impressing your peers. You can use each of the following actions once per encounter as a standard action: 
* Hold the Line: Make a single melee or ranged attack against any target within your range. If your attack hits, all allies within 6 squares of you a gain a +2 morale bonus to their Defense scores until the end of your next turn. 
* Lead the Assault: Make a single melee or ranged attack against any target within your range. If your attack hits. all allies within 6 squares of you and within your line of sight gain a +2 morale bonus to their attack rolls and damage rolls until the end of your next turn. 
* Turn the Tide: Make a single melee or ranged attack against any target within your range. lf you successfully damage the target, a number of allies equal to your Charisma modifier (minimum 1) can immediately move up to half their speed as a free action. Prerequisites: Born Leader, Tactical Savvy. | J=No | L=0
Row 187: B=undefined | C=undefined | D=Coordinate | E=undefined | I=Allies within line of sight grant an additional +1 bonus when using aid another until the start of your next turn, activated as a standard action

(Enter number of times taken) | J=No | L=0
Row 188: B=undefined | C=undefined | D=undefined | E=Trust | I=Give up a standard action to grant an ally within line of sight an extra standard or move action on their next turn | J=No | L=0
Row 189: B=undefined | C=undefined | D=Unwavering Ally | E=undefined | I=Once per turn, as a swift action, you can designate one ally within your line of sight who can hear and understand you. Until the start of your next turn, that ally becomes immune to all effects that render the ally flat-footed or that deny the ally a Dexterity bonus to his or her Reflex Defense. | J=No | L=0
Row 190: B=undefined | C=Lineage | D=Connections | E=undefined | I=Avoid paying license fees on equipment less than your character level x 1000 credits, and reduce the black market cost multiplier by 1 | J=No | L=0
Row 191: B=undefined | C=undefined | D=undefined | E=Influential Friends | I=Once per day, receive a skill check at 25 + half your heroic level over the course of 10 x skill check result minutes | J=No | L=0
Row 192: B=undefined | C=undefined | D=undefined | E=undefined | I=Once per encounter, take 20 on a Persuasion check without taking longer than usual | J=No | L=0
Row 193: B=undefined | C=undefined | D=Educated | E=undefined | I=Knowledge checks can be made untrained | J=No | L=0
Row 194: B=undefined | C=undefined | D=undefined | E=Engineer | I=Trained in Mechanics. Time taken to install new systems into a vehicle is reduced by 25% | J=No | L=0
Row 195: B=undefined | C=undefined | D=undefined | E=Spontaneous Skill | I=Make a skill check once per day as if trained in a skill you are untrained in (except Use the Force)

(Enter number of times taken) | J=No | L=0
Row 196: B=undefined | C=undefined | D=Wealth | E=undefined | I=Gain 5000 credits for each level of Noble every time you gain a level | J=No | L=0
Row 197: B=undefined | C=Loyal Protector | D=Inspire Loyalty | E=undefined | I=You gain a single follower. Choose either the aggressive, defensive, or utility follower template for your follower. This follower gains one Armor Proficiency feat of your choice and becomes trained in the Perception skill.  | J=No | L=0
Row 198: B=undefined | C=undefined | D=undefined | E=Protector Actions | I=You can use any of the following actions on your turn. 
- Bodyguard
- Diversion Attack
- The Best Defense | J=No | L=0
Row 199: B=undefined | C=undefined | D=undefined | E=Punishing Protection | I=As a reaction to you being damaged by an attack or a Force power, one of your followers can make an immediate melee or ranged attack against the target that attacked you. | J=No | L=0
Row 200: B=undefined | C=undefined | D=undefined | E=Undying Loyalty | I=Each of your followers gains the Toughness feat. | J=No | L=0
Row 201: B=undefined | C=Master of Intrigue | D=Blend In | E=undefined | I=As a Swift Action, you gain Total Concealment when adjacent to at least two other creatures. This benefit does not apply to attacks from adjacent creatures.  | J=No | L=0
Row 202: B=undefined | C=undefined | D=Done It All | E=undefined | I=Choose two talents you meet reqs. Spend FP to gain access 1/turn until the end of your next turn | J=No | L=0
Row 203: B=undefined | C=undefined | D=Get into Position | E=undefined | I=1/enc at the start of your first turn two allies in LOS and 12 sq move their speed as reac | J=No | L=0
Row 204: B=undefined | C=undefined | D=undefined | E=undefined | I=1/enc each: 1. ally w/in 5 sq & LOS +5 up track & +2 atk & skills, 2. roll d20 as reac can replace enemy or ally in LOS d20 roll, 3. ally w/in 5 sq & LOS can replace their def with your def as reac for next | J=No | L=0
Row 205: B=undefined | C=undefined | D=Advanced Planning | E=undefined | I=When you roll Initiative for combat, choose one willing ally within your line of sight. You and that ally swap Initiative results.  | J=No | L=0
Row 206: B=undefined | C=undefined | D=undefined | E=Retaliation | I=When you move down track from dam exceeding thresh, next atk before end of next turn moves target -1 down track if it takes damage | J=No | L=0
Row 207: B=undefined | C=Provocateur | D=Cast Suspicion | E=undefined | I=Prevent one enemy from receiving morale and insight bonuses for  round | J=No | L=0
Row 208: B=undefined | C=undefined | D=undefined | E=Friend or Foe | I=Redirect a missed attack against an ally to an adjacent enemy | J=No | L=0
Row 209: B=undefined | C=undefined | D=undefined | E=undefined | I=Make a Persuasion check against Will Defense to order an enemy to attack another of your foes | J=No | L=0
Row 210: B=undefined | C=undefined | D=undefined | E=Stolen Advantage | I=You usurp an enemy's attempt to Aid Another and give the bonus to an ally | J=No | L=0
Row 211: B=undefined | C=undefined | D=Distress to Discord | E=undefined | I=When your allies take a Second Wind, your enemies lose their Dexterity bonus to Reflex Defense | J=No | L=0
Row 212: B=undefined | C=undefined | D=undefined | E=Seize the Moment | I=When an enemy is reduced to 0 hit points, you grant a Second Wind to any ally for free with bonus hit points equal to your level | J=No | L=0
Row 213: B=undefined | C=Skill Challenge | D=Guaranteed Boon | E=undefined | I=If you spend FP on skill roll and fail regain FP | J=No | L=0
Row 214: B=undefined | C=undefined | D=Leading Skill | E=undefined | I=When you succeed with skill in skill challenge, gain +2 on different skill roll in same challenge | J=No | L=0
Row 215: B=undefined | C=undefined | D=Learn from Mistakes | E=undefined | I=When you fail check in skill challenge, next ally gains +2 with different skill | J=No | L=0
Row 216: B=undefined | C=undefined | D=Try Your Luck | E=undefined | I=When you fail check in skill challenge choose ally. Next use of same skill roll 2 dice & keep better | J=No | L=0
Row 217: B=undefined | C=Superior Skills | D=Assured Skill (Acrobatics) | E=undefined | I=Lose competence bonuses on 1 skill to roll 2 dice keep better | J=No | L=0
Row 218: B=undefined | C=undefined | D=Assured Skill (Climb) | E=undefined | I=Lose competence bonuses on 1 skill to roll 2 dice keep better | J=No | L=0
Row 219: B=undefined | C=undefined | D=Assured Skill (Deception) | E=undefined | I=Lose competence bonuses on 1 skill to roll 2 dice keep better | J=No | L=0
Row 220: B=undefined | C=undefined | D=Assured Skill (Endurance) | E=undefined | I=Lose competence bonuses on 1 skill to roll 2 dice keep better | J=No | L=0
Row 221: B=undefined | C=undefined | D=Assured Skill (Gather Information) | E=undefined | I=Lose competence bonuses on 1 skill to roll 2 dice keep better | J=No | L=0
Row 222: B=undefined | C=undefined | D=Assured Skill (Initiative) | E=undefined | I=Lose competence bonuses on 1 skill to roll 2 dice keep better | J=No | L=0
Row 223: B=undefined | C=undefined | D=Assured Skill (Jump) | E=undefined | I=Lose competence bonuses on 1 skill to roll 2 dice keep better | J=No | L=0
Row 224: B=undefined | C=undefined | D=Assured Skill (Knowledge [Bureaucracy]) | E=undefined | I=Lose competence bonuses on 1 skill to roll 2 dice keep better | J=No | L=0
Row 225: B=undefined | C=undefined | D=Assured Skill (Knowledge [Galactic Lore]) | E=undefined | I=Lose competence bonuses on 1 skill to roll 2 dice keep better | J=No | L=0
Row 226: B=undefined | C=undefined | D=Assured Skill (Knowledge [Life Sciences]) | E=undefined | I=Lose competence bonuses on 1 skill to roll 2 dice keep better | J=No | L=0
Row 227: B=undefined | C=undefined | D=Assured Skill (Knowledge [Physical Sciences]) | E=undefined | I=Lose competence bonuses on 1 skill to roll 2 dice keep better | J=No | L=0
Row 228: B=undefined | C=undefined | D=Assured Skill (Knowledge [Social Sciences]) | E=undefined | I=Lose competence bonuses on 1 skill to roll 2 dice keep better | J=No | L=0
Row 229: B=undefined | C=undefined | D=Assured Skill (Knowledge [Tactics]) | E=undefined | I=Lose competence bonuses on 1 skill to roll 2 dice keep better | J=No | L=0
Row 230: B=undefined | C=undefined | D=Assured Skill (Knowledge [Technology]) | E=undefined | I=Lose competence bonuses on 1 skill to roll 2 dice keep better | J=No | L=0
Row 231: B=undefined | C=undefined | D=Assured Skill (Mechanics) | E=undefined | I=Lose competence bonuses on 1 skill to roll 2 dice keep better | J=No | L=0
Row 232: B=undefined | C=undefined | D=Assured Skill (Perception) | E=undefined | I=Lose competence bonuses on 1 skill to roll 2 dice keep better | J=No | L=0
Row 233: B=undefined | C=undefined | D=Assured Skill (Persuasion) | E=undefined | I=Lose competence bonuses on 1 skill to roll 2 dice keep better | J=No | L=0
Row 234: B=undefined | C=undefined | D=Assured Skill (Pilot) | E=undefined | I=Lose competence bonuses on 1 skill to roll 2 dice keep better | J=No | L=0
Row 235: B=undefined | C=undefined | D=Assured Skill (Ride) | E=undefined | I=Lose competence bonuses on 1 skill to roll 2 dice keep better | J=No | L=0
Row 236: B=undefined | C=undefined | D=Assured Skill (Stealth) | E=undefined | I=Lose competence bonuses on 1 skill to roll 2 dice keep better | J=No | L=0
Row 237: B=undefined | C=undefined | D=Assured Skill (Survival) | E=undefined | I=Lose competence bonuses on 1 skill to roll 2 dice keep better | J=No | L=0
Row 238: B=undefined | C=undefined | D=Assured Skill (Swim) | E=undefined | I=Lose competence bonuses on 1 skill to roll 2 dice keep better | J=No | L=0
Row 239: B=undefined | C=undefined | D=Assured Skill (Treat Injury) | E=undefined | I=Lose competence bonuses on 1 skill to roll 2 dice keep better | J=No | L=0
Row 240: B=undefined | C=undefined | D=Assured Skill (Use Computer) | E=undefined | I=Lose competence bonuses on 1 skill to roll 2 dice keep better | J=No | L=0
Row 241: B=undefined | C=undefined | D=Assured Skill (Use the Force) | E=undefined | I=Lose competence bonuses on 1 skill to roll 2 dice keep better | J=No | L=0
Row 242: B=undefined | C=undefined | D=Critical Skill Success | E=undefined | I=When you roll nat 20 on a skill, choose different skill. Gain +5 before end of next turn as free | J=No | L=0
Row 243: B=undefined | C=undefined | D=undefined | E=Skill Confidence (Acrobatics) | I=nat 19 or 20 gain benefit of Critical Skill Success and bonus hp = Cha mod | J=No | L=0
Row 244: B=undefined | C=undefined | D=undefined | E=Skill Confidence (Climb) | I=nat 19 or 20 gain benefit of Critical Skill Success and bonus hp = Cha mod | J=No | L=0
Row 245: B=undefined | C=undefined | D=undefined | E=Skill Confidence (Deception) | I=nat 19 or 20 gain benefit of Critical Skill Success and bonus hp = Cha mod | J=No | L=0
Row 246: B=undefined | C=undefined | D=undefined | E=Skill Confidence (Endurance) | I=nat 19 or 20 gain benefit of Critical Skill Success and bonus hp = Cha mod | J=No | L=0
Row 247: B=undefined | C=undefined | D=undefined | E=Skill Confidence (Gather Information) | I=nat 19 or 20 gain benefit of Critical Skill Success and bonus hp = Cha mod | J=No | L=0
Row 248: B=undefined | C=undefined | D=undefined | E=Skill Confidence (Initiative) | I=nat 19 or 20 gain benefit of Critical Skill Success and bonus hp = Cha mod | J=No | L=0
Row 249: B=undefined | C=undefined | D=undefined | E=Skill Confidence (Jump) | I=nat 19 or 20 gain benefit of Critical Skill Success and bonus hp = Cha mod | J=No | L=0
Row 250: B=undefined | C=undefined | D=undefined | E=Skill Confidence (Knowledge [Bureaucracy]) | I=nat 19 or 20 gain benefit of Critical Skill Success and bonus hp = Cha mod | J=No | L=0
Row 251: B=undefined | C=undefined | D=undefined | E=Skill Confidence (Knowledge [Galactic Lore]) | I=nat 19 or 20 gain benefit of Critical Skill Success and bonus hp = Cha mod | J=No | L=0
Row 252: B=undefined | C=undefined | D=undefined | E=Skill Confidence (Knowledge [Life Sciences]) | I=nat 19 or 20 gain benefit of Critical Skill Success and bonus hp = Cha mod | J=No | L=0
Row 253: B=undefined | C=undefined | D=undefined | E=Skill Confidence (Knowledge [Physical Sciences]) | I=nat 19 or 20 gain benefit of Critical Skill Success and bonus hp = Cha mod | J=No | L=0
Row 254: B=undefined | C=undefined | D=undefined | E=Skill Confidence (Knowledge [Social Sciences]) | I=nat 19 or 20 gain benefit of Critical Skill Success and bonus hp = Cha mod | J=No | L=0
Row 255: B=undefined | C=undefined | D=undefined | E=Skill Confidence (Knowledge [Tactics]) | I=nat 19 or 20 gain benefit of Critical Skill Success and bonus hp = Cha mod | J=No | L=0
Row 256: B=undefined | C=undefined | D=undefined | E=Skill Confidence (Knowledge [Technology]) | I=nat 19 or 20 gain benefit of Critical Skill Success and bonus hp = Cha mod | J=No | L=0
Row 257: B=undefined | C=undefined | D=undefined | E=Skill Confidence (Mechanics) | I=nat 19 or 20 gain benefit of Critical Skill Success and bonus hp = Cha mod | J=No | L=0
Row 258: B=undefined | C=undefined | D=undefined | E=Skill Confidence (Perception) | I=nat 19 or 20 gain benefit of Critical Skill Success and bonus hp = Cha mod | J=No | L=0
Row 259: B=undefined | C=undefined | D=undefined | E=Skill Confidence (Persuasion) | I=nat 19 or 20 gain benefit of Critical Skill Success and bonus hp = Cha mod | J=No | L=0
Row 260: B=undefined | C=undefined | D=undefined | E=Skill Confidence (Pilot) | I=nat 19 or 20 gain benefit of Critical Skill Success and bonus hp = Cha mod | J=No | L=0
Row 261: B=undefined | C=undefined | D=undefined | E=Skill Confidence (Ride) | I=nat 19 or 20 gain benefit of Critical Skill Success and bonus hp = Cha mod | J=No | L=0
Row 262: B=undefined | C=undefined | D=undefined | E=Skill Confidence (Stealth) | I=nat 19 or 20 gain benefit of Critical Skill Success and bonus hp = Cha mod | J=No | L=0
Row 263: B=undefined | C=undefined | D=undefined | E=Skill Confidence (Survival) | I=nat 19 or 20 gain benefit of Critical Skill Success and bonus hp = Cha mod | J=No | L=0
Row 264: B=undefined | C=undefined | D=undefined | E=Skill Confidence (Swim) | I=nat 19 or 20 gain benefit of Critical Skill Success and bonus hp = Cha mod | J=No | L=0
Row 265: B=undefined | C=undefined | D=undefined | E=Skill Confidence (Treat Injury) | I=nat 19 or 20 gain benefit of Critical Skill Success and bonus hp = Cha mod | J=No | L=0
Row 266: B=undefined | C=undefined | D=undefined | E=Skill Confidence (Use Computer) | I=nat 19 or 20 gain benefit of Critical Skill Success and bonus hp = Cha mod | J=No | L=0
Row 267: B=undefined | C=undefined | D=undefined | E=Skill Confidence (Use the Force) | I=nat 19 or 20 gain benefit of Critical Skill Success and bonus hp = Cha mod | J=No | L=0
Row 268: B=undefined | C=undefined | D=Exceptional Skill (Acrobatics) | E=undefined | I=when you roll a nat 2-7, treat as 8. | J=No | L=0
Row 269: B=undefined | C=undefined | D=Exceptional Skill (Climb) | E=undefined | I=when you roll a nat 2-7, treat as 8. | J=No | L=0
Row 270: B=undefined | C=undefined | D=Exceptional Skill (Deception) | E=undefined | I=when you roll a nat 2-7, treat as 8. | J=No | L=0
Row 271: B=undefined | C=undefined | D=Exceptional Skill (Endurance) | E=undefined | I=when you roll a nat 2-7, treat as 8. | J=No | L=0
Row 272: B=undefined | C=undefined | D=Exceptional Skill (Gather Information) | E=undefined | I=when you roll a nat 2-7, treat as 8. | J=No | L=0
Row 273: B=undefined | C=undefined | D=Exceptional Skill (Initiative) | E=undefined | I=when you roll a nat 2-7, treat as 8. | J=No | L=0
Row 274: B=undefined | C=undefined | D=Exceptional Skill (Jump) | E=undefined | I=when you roll a nat 2-7, treat as 8. | J=No | L=0
Row 275: B=undefined | C=undefined | D=Exceptional Skill (Knowledge [Bureaucracy]) | E=undefined | I=when you roll a nat 2-7, treat as 8. | J=No | L=0
Row 276: B=undefined | C=undefined | D=Exceptional Skill (Knowledge [Galactic Lore]) | E=undefined | I=when you roll a nat 2-7, treat as 8. | J=No | L=0
Row 277: B=undefined | C=undefined | D=Exceptional Skill (Knowledge [Life Sciences]) | E=undefined | I=when you roll a nat 2-7, treat as 8. | J=No | L=0
Row 278: B=undefined | C=undefined | D=Exceptional Skill (Knowledge [Physical Sciences]) | E=undefined | I=when you roll a nat 2-7, treat as 8. | J=No | L=0
Row 279: B=undefined | C=undefined | D=Exceptional Skill (Knowledge [Social Sciences]) | E=undefined | I=when you roll a nat 2-7, treat as 8. | J=No | L=0
Row 280: B=undefined | C=undefined | D=Exceptional Skill (Knowledge [Tactics]) | E=undefined | I=when you roll a nat 2-7, treat as 8. | J=No | L=0
Row 281: B=undefined | C=undefined | D=Exceptional Skill (Knowledge [Technology]) | E=undefined | I=when you roll a nat 2-7, treat as 8. | J=No | L=0
Row 282: B=undefined | C=undefined | D=Exceptional Skill (Mechanics) | E=undefined | I=when you roll a nat 2-7, treat as 8. | J=No | L=0
Row 283: B=undefined | C=undefined | D=Exceptional Skill (Perception) | E=undefined | I=when you roll a nat 2-7, treat as 8. | J=No | L=0
Row 284: B=undefined | C=undefined | D=Exceptional Skill (Persuasion) | E=undefined | I=when you roll a nat 2-7, treat as 8. | J=No | L=0
Row 285: B=undefined | C=undefined | D=Exceptional Skill (Pilot) | E=undefined | I=when you roll a nat 2-7, treat as 8. | J=No | L=0
Row 286: B=undefined | C=undefined | D=Exceptional Skill (Ride) | E=undefined | I=when you roll a nat 2-7, treat as 8. | J=No | L=0
Row 287: B=undefined | C=undefined | D=Exceptional Skill (Stealth) | E=undefined | I=when you roll a nat 2-7, treat as 8. | J=No | L=0
Row 288: B=undefined | C=undefined | D=Exceptional Skill (Survival) | E=undefined | I=when you roll a nat 2-7, treat as 8. | J=No | L=0
Row 289: B=undefined | C=undefined | D=Exceptional Skill (Swim) | E=undefined | I=when you roll a nat 2-7, treat as 8. | J=No | L=0
Row 290: B=undefined | C=undefined | D=Exceptional Skill (Treat Injury) | E=undefined | I=when you roll a nat 2-7, treat as 8. | J=No | L=0
Row 291: B=undefined | C=undefined | D=Exceptional Skill (Use Computer) | E=undefined | I=when you roll a nat 2-7, treat as 8. | J=No | L=0
Row 292: B=undefined | C=undefined | D=Exceptional Skill (Use the Force) | E=undefined | I=when you roll a nat 2-7, treat as 8. | J=No | L=0
Row 293: B=undefined | C=undefined | D=Reliable Boon | E=undefined | I=Reroll FP dice that show 1 on a skill check & reroll until it is 2 or higher | J=No | L=0
Row 294: B=undefined | C=undefined | D=Skill Boon (Acrobatics) | E=undefined | I=increase FP dice to next higher on 1 skill (d6 to d8, d8 to d10, d10 to d12) | J=No | L=0
Row 295: B=undefined | C=undefined | D=Skill Boon (Climb) | E=undefined | I=increase FP dice to next higher on 1 skill (d6 to d8, d8 to d10, d10 to d12) | J=No | L=0
Row 296: B=undefined | C=undefined | D=Skill Boon (Deception) | E=undefined | I=increase FP dice to next higher on 1 skill (d6 to d8, d8 to d10, d10 to d12) | J=No | L=0
Row 297: B=undefined | C=undefined | D=Skill Boon (Endurance) | E=undefined | I=increase FP dice to next higher on 1 skill (d6 to d8, d8 to d10, d10 to d12) | J=No | L=0
Row 298: B=undefined | C=undefined | D=Skill Boon (Gather Information) | E=undefined | I=increase FP dice to next higher on 1 skill (d6 to d8, d8 to d10, d10 to d12) | J=No | L=0
Row 299: B=undefined | C=undefined | D=Skill Boon (Initiative) | E=undefined | I=increase FP dice to next higher on 1 skill (d6 to d8, d8 to d10, d10 to d12) | J=No | L=0
